ISO_ALPHA2,CITY_EN_NAME,CITY_KR_NAME
GH,Ashanti Region,아샨티 주
GH,Northern Region,북부 주
GH,Bono East,Bono East
GH,Savannah,Savannah
GH,Central Region,중앙 주
GH,Western Region,서부 주
GH,Volta Region,볼타 주
GH,Upper West Region,북서부 주
GH,Upper East Region,북동부 주
GH,Greater Accra Region,그레이터아크라 주
GH,Eastern Region,동부 주
GH,Bono,Bono
GH,Oti,Oti
GH,North East,North East
GH,Ahafo,Ahafo
GH,Western North,Western North
GA,Province du Woleu-Ntem,월뢰은템주
GA,Province de l’Ogooué-Maritime,오고웨마리팀주
GA,Province de l’Ogooué-Lolo,Province de l’Ogooué-Lolo
GA,Province de l’Ogooué-Ivindo,오고웨이빈도주
GA,Province de la Nyanga,냥가주
GA,Province de la Ngounié,Province de la Ngounié
GA,Province du Haut-Ogooué,오트오고웨주
GA,Province du Moyen-Ogooué,무아얭오고웨주
GA,Estuaire,에스튀에르주
GY,East Berbice-Corentyne Region,East Berbice-Corentyne Region
GY,Cuyuni-Mazaruni Region,쿠유니마자루니주
GY,Barima-Waini Region,바리마와이니주
GY,Upper Takutu-Upper Essequibo Region,어퍼타쿠투어퍼에세키보주
GY,Upper Demerara-Berbice Region,어퍼데메라라버비스주
GY,Potaro-Siparuni Region,포타로시파루니주
GY,Essequibo Islands-West Demerara Region,에세키보아일랜즈웨스트데메라라주
GY,Demerara-Mahaica Region,데메라라마하이카주
GY,Pomeroon-Supenaam Region,포메룬수페남주
GY,Mahaica-Berbice Region,마하이카버비스주
GM,West Coast,West Coast
GM,Upper River,어퍼리버구
GM,North Bank,노스뱅크구
GM,Central River,센트럴리버구
GM,Lower River Division,로어리버구
GM,Banjul,Banjul
GG,Saint Pierre du Bois,Saint Pierre du Bois
GG,Torteval,Torteval
GG,Saint Saviour,Saint Saviour
GG,Forest,Forest
GG,Saint Martin,Saint Martin
GG,Saint Andrew,Saint Andrew
GG,Saint Peter Port,Saint Peter Port
GG,Castel,Castel
GG,Vale,Vale
GG,Saint Sampson,Saint Sampson
GG,Alderney,Alderney
GP,Guadeloupe,과들루프
GT,Departamento del Petén,페텐주
GT,Departamento de Zacapa,사카파주
GT,Departamento de Totonicapán,Departamento de Totonicapán
GT,Departamento de Suchitepéquez,Departamento de Suchitepéquez
GT,Departamento de Sololá,솔롤라주
GT,Departamento de Baja Verapaz,바하베라파스주
GT,Departamento de Alta Verapaz,알타베라파스주
GT,Departamento de Santa Rosa,산타로사주
GT,Departamento de San Marcos,산마르코스주
GT,Departamento de Sacatepéquez,사카테페케스주
GT,Departamento de Retalhuleu,Departamento de Retalhuleu
GT,Departamento del Quiché,키체주
GT,Departamento de Quetzaltenango,케트살테낭고주
GT,Departamento de Jutiapa,Departamento de Jutiapa
GT,Departamento de Jalapa,Departamento de Jalapa
GT,Departamento de Izabal,이사발주
GT,Departamento de Huehuetenango,Departamento de Huehuetenango
GT,Departamento de Guatemala,과테말라주
GT,Departamento de Escuintla,Departamento de Escuintla
GT,Departamento de El Progreso,엘프로그레소주
GT,Departamento de Chiquimula,치키물라주
GT,Departamento de Chimaltenango,치말테낭고주
GU,Piti Municipality,Piti Municipality
GU,Santa Rita Municipality,Santa Rita Municipality
GU,Sinajana Municipality,Sinajana Municipality
GU,Talofofo Municipality,Talofofo Municipality
GU,Tamuning-Tumon-Harmon Municipality,Tamuning-Tumon-Harmon Municipality
GU,Umatac Municipality,Umatac Municipality
GU,Yigo Municipality,Yigo Municipality
GU,Yona Municipality,Yona Municipality
GU,Merizo Municipality,Merizo Municipality
GU,Mangilao Municipality,Mangilao Municipality
GU,Agana Heights Municipality,Agana Heights Municipality
GU,Chalan Pago-Ordot Municipality,Chalan Pago-Ordot Municipality
GU,Asan-Maina Municipality,Asan-Maina Municipality
GU,Agat Municipality,Agat Municipality
GU,Dededo Municipality,Dededo Municipality
GU,Barrigada Municipality,Barrigada Municipality
GU,Hagåtña Municipality,Hagåtña Municipality
GU,Inarajan Municipality,Inarajan Municipality
GU,Mongmong-Toto-Maite Municipality,Mongmong-Toto-Maite Municipality
GD,Saint Patrick,세인트패트릭구
GD,Saint Mark,세인트마크구
GD,Saint John,세인트존구
GD,Saint George,세인트조지구
GD,Saint David,세인트데이비드구
GD,Saint Andrew,세인트앤드루구
GD,Carriacou and Petite Martinique,Carriacou and Petite Martinique
GR,Central Greece,중부 그리스 주
GR,Ionian Islands,이오니아 제도 주
GR,North Aegean,북부 에게 주
GR,South Aegean,남부 에게 주
GR,Mount Athos,아토스 산
GR,Central Macedonia,중부 마케도니아 주
GR,Crete,크리티 주
GR,Eastern Macedonia and Thrace,동부 마케도니아와 트라키 주
GR,Epirus,이피로스 주
GR,Peloponnese,펠로폰니소스 주
GR,Thessaly,테살리아 주
GR,Western Greece,서부 그리스 주
GR,Western Macedonia,서부 마케도니아 주
GR,Attica,아티키 주
GL,Sermersooq,세르메르소크
GL,Avannaata,Avannaata
GL,Kujalleq,쿠얄레크
GL,Qeqqata,케카타
GL,Qeqertalik,Qeqertalik
GN,Boke Region,보케주
GN,Faranah Region,파라나주
GN,Kankan Region,캉칸주
GN,Kindia Region,킨디아주
GN,Nzerekore Region,은제레코레주
GN,Conakry Region,Conakry Region
GN,Labé Region,라베주
GN,Mamou Region,마무주
GW,Cacheu Region,Cacheu Region
GW,Bolama,볼라마 주
GW,Bissau Region,Bissau Region
GW,Biombo,비옴부 주
GW,Bafatá,Bafatá
GW,Tombali,톰발리 주
GW,Quinara,키나라 주
GW,Oio Region,Oio Region
GW,Gabú,Gabú
NA,Khomas,호마스주
NA,Erongo,에롱고주
NA,Hardap,하르다프주
NA,Karas,카라스주
NA,Kunene,쿠네네주
NA,Ohangwena,오항궤나주
NA,Omaheke,오마헤케주
NA,Omusati,오무사티주
NA,Oshana,오샤나주
NA,Oshikoto,오시코토주
NA,Otjozondjupa,오초존주파주
NA,Zambezi Region,카프리비 주
NA,Kavango East Region,동카방고주
NA,Kavango West Region,서카방고주
NR,Yaren,야렌구
NR,Uaboe District,우아보에구
NR,Nibok District,니보크구
NR,Meneng District,메넹구
NR,Ijuw District,이유브구
NR,Ewa District,에와구
NR,Denigomodu District,데니고모두구
NR,Buada District,부아다구
NR,Boe District,보에구
NR,Baiti District,바이티구
NR,Anibare District,아니바레구
NR,Anetan District,아네탄구
NR,Anabar District,아나바르구
NR,Aiwo District,아이워구
NG,Kebbi State,케비주
NG,Kogi State,코기주
NG,Taraba State,타라바주
NG,Yobe State,요베주
NG,Nasarawa State,나사라와주
NG,Zamfara State,잠파라주
NG,Jigawa State,지가와주
NG,Katsina State,카치나주
NG,Kano State,카노주
NG,Kaduna State,카두나주
NG,Plateau State,플래토주
NG,Oyo State,오요주
NG,Cross River State,크로스리버주
NG,Borno State,보르노주
NG,Benue State,베누에주
NG,Bauchi State,바우치주
NG,Niger State,나이저주
NG,Kwara State,콰라주
NG,Osun State,오순주
NG,Bayelsa State,바이엘사주
NG,Ebonyi State,에보니주
NG,Ekiti State,에키티주
NG,Gombe State,곰베주
NG,Abia State,아비아주
NG,Delta State,델타주
NG,Edo,에도주
NG,Enugu State,에누구주
NG,Anambra State,아남브라주
NG,Akwa Ibom State,아콰이봄주
NG,Federal Capital Territory,연방 수도 지구
NG,Imo State,이모주
NG,Rivers State,리버스주
NG,Ondo State,온도주
NG,Ogun State,오군주
NG,Lagos State,라고스주
NG,Adamawa State,아다마와주
NG,Sokoto State,Sokoto State
SS,Western Bahr el Ghazal State,서바르알가잘주
SS,Lakes,레이크스주
SS,Unity,유니티주
SS,Central Equatoria State,중앙에콰토리아주
SS,Western Equatoria,서에콰토리아주
SS,Northern Bahr el Ghazal,북바르알가잘주
SS,Eastern Equatoria,동에콰토리아주
SS,Warrap State,와랍주
SS,Jonglei,종글레이주
SS,Upper Nile,상나일주
ZA,Limpopo,림포포주
ZA,North West,노스웨스트주
ZA,Western Cape,웨스턴케이프주
ZA,Free State,프리스테이트주
ZA,Eastern Cape,이스턴케이프주
ZA,Gauteng,하우텡주
ZA,Mpumalanga,음푸말랑가주
ZA,Northern Cape,노던케이프주
ZA,KwaZulu-Natal,콰줄루나탈주
NL,Provincie Flevoland,플레볼란트 주
NL,Provincie Limburg,림뷔르흐 주
NL,Provincie Groningen,흐로닝언 주
NL,Provincie Gelderland,헬데를란트 주
NL,Provincie Friesland,프리슬란트 주
NL,Provincie Drenthe,드렌터 주
NL,Provincie Zeeland,제일란트 주
NL,Provincie Utrecht,위트레흐트 주
NL,Provincie Overijssel,오버레이설 주
NL,Provincie Noord-Holland,노르트홀란트 주
NL,Provincie Noord-Brabant,노르트브라반트주
NL,Provincie Zuid-Holland,자위트홀란트주
NP,Bagmati Province,Bagmati Province
NP,Gandaki Pradesh,Gandaki Pradesh
NP,Lumbini Province,Lumbini Province
NP,Karnali Province,Karnali Province
NP,Sudurpashchim Pradesh,Sudurpashchim Pradesh
NP,Koshi,Koshi
NP,Madhesh,Madhesh
NO,Nordland Fylke,노를란주
NO,Innlandet,인란데주
NO,Vestland,베스트란주
